"Adobe AIR","{FDB3B167-F4FA-461D-976F-286304A57B2A}"
"Best Buy pc app","{FBBC4667-2521-4E78-B1BD-8706F774549B}"
"Windows Live Photo Gallery","{3336F667-9049-4D46-98B6-4C743EEBC5B1}"
"Windows Live Photo Common","{D436F577-1695-4D2F-8B44-AC76C99E0002}"
"Label@Once 1.0","{0D795777-9D60-4692-8386-F2B3F2B5E5BF}"
"WPF Toolkit February 2010 (Version 3.5.50211.1)","{5EE6E987-1B79-4A93-832B-27472C7D1579}"
"Microsoft Expression Blend SDK for .NET 4","{9B3A1C97-A361-463E-8817-444F9F88CDFE}"
"D3DX10","{E09C4DB7-630C-4F06-A631-8EA7239923AF}"
"Junk Mail filter update","{1F6AB0E7-8CDD-4B93-8A23-AA9EB2FEFCE4}"
"Windows Live Movie Maker","{19BA08F7-C728-469C-8A35-BFBD3633BE08}"
"Microsoft_VC80_MFCLOC_x86_x64","{1E9FC118-651D-4934-97BE-E53CAE5C7D45}"
"TOSHIBA HDD/SSD Alert","{D4322448-B6AF-4316-B859-D8A0E84DCB38}"
"Times Reader","{331C9768-BAD9-F31B-8DA2-0268D346C702}"
"Windows Live Messenger","{EB4DF488-AAEF-406F-A341-CB2AAA315B90}"
"Microsoft .NET Framework 4 Multi-Targeting Pack","{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}"
"Scansoft PDF Professional","{068724F8-D8BE-4B43-8DDD-B9FE9E49FD76}"
"Microsoft_VC80_ATL_x86","{0F3647F8-E51D-4FCC-8862-9A8D0C5ACF25}"
"TOSHIBA Value Added Package","{066CFFF8-12BF-4390-A673-75F95EFF188E}"
"Microsoft_VC80_CRT_x86","{92D58719-BBC1-4CC3-A08B-56C9E884CC2C}"
"H&R Block Deluxe + Efile + State 2012","{89D20029-0578-4D8D-979A-695C8D868868}"
"Garmin USB Drivers","{510D2239-6C2E-457B-9590-485EC552D94D}"
"Google Update Helper","{A92DAB39-4E2C-4304-9AB6-BC44E68B55E2}"
"Windows Live Sync","{84EBDF39-4B33-49D7-A0BD-EB6E2C4E81C1}"
"7-Zip 4.65 (x64 edition)","{23170F69-40C1-2702-0465-000001000000}"
"Microsoft Visual Studio 2010 Express Prerequisites x64 - ENU","{BCA26999-EC22-3007-BB79-638913079C9A}"
"","{9AC08E99-230B-47e8-9721-4577B7F124EA}"
"Microsoft XNA Game Studio 4.0 (ARP entry)","{73BE04D9-BA0E-4BAF-9C9D-677278BDB3DC}"
"Microsoft Visual C++ 2005 Redistributable (x64)","{6ce5bae9-d3ca-4b99-891a-1dc6c118a5fc}"
"IIS URL Rewrite Module 2","{EB675D0A-2C95-405B-BEE8-B42A65D23E11}"
"WCF RIA Services V1.0 SP1","{D9E6001A-5DC3-4620-AF7A-80B6CD48645D}"
"Microsoft Visual C++  Compilers 2010 Standard - enu - x86","{2F8B731A-5F2D-3EA8-8B25-C3E5E43F4BDB}"
"Adobe Download Assistant","{5D90E53A-BD7C-8F32-9B82-7733D0F0BC8E}"
"Microsoft Visual C++ 2008 Redistributable - KB2467174 - x64 9.0.30729.5570","{8338783A-0968-3B85-AFC7-BAAE0A63DC50}"
"Windows Live Mail","{9D56775A-93F3-44A3-8092-840E3826DE30}"
"MSVCRT","{8DD46C6A-0056-4FEC-B70A-28BB16A1F11F}"
"Amazon MP3 Uploader","{2680A0EA-84CA-DB0B-1C81-86F83C12BBF2}"
"Apple Mobile Device Support","{D70884EA-E2CE-4539-91DB-4766CC1E5F5F}"
"RealNetworks - Microsoft Visual C++ 2008 Runtime","{7770E71B-2D43-4800-9CB3-5B6CAAEBEBEA}"
"Python 2.7.2 (64-bit)","{2E295B5B-1AD4-4D36-97C2-A316084722C0}"
"Microsoft_VC90_MFC_x86","{635FED5B-2C6D-49BE-87E6-7A6FCD22BC5A}"
"Windows Live Photo Common","{A9BDCA6B-3653-467B-AC83-94367DA3BFE3}"
"Microsoft_VC80_ATL_x86_x64","{925D058B-564A-443A-B4B2-7E90C6432E55}"
"Windows Azure Tools for Microsoft Visual Studio 2010 1.3","{ACE984AB-A42F-409B-A295-4190F0079101}"
"Windows Live Language Selector","{5EB6F3CB-46F4-451F-A028-7F6D8D35D7D0}"
